过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x7a7387937a6696bcbb2a36b18acbdbc1082d8682,17,20,2019/9/17,2018/8/6,214.8,88
0xed45a9971a2d0738d43e3db27d05bed1cc5ea8d1,17,18,2019/9/15,2018/7/30,257.977,787
0x3daf204b8fa09ce2df275d4e76cc279696c56177,17,19,2019/11/5,2018/7/17,10648.5,236
0x5b36e04f576ba6c86474a1e434e69f368f7982fb,17,31,2019/3/20,2018/12/30,1094.88,62
0xd56d339430ab8595010d8e0ddb210b6db09f89d9,17,19,2019/10/29,2018/7/18,231.045,125
0x561b95bcd9299f4e31598f0ac6808f5781817f30,17,21,2019/9/9,2018/8/8,244.205,417
0x82fc6db51b7eb088cc77254eecbb2d5958a2a8f9,16,16,2020/1/16,2019/4/2,121.859,82
0x9a94430da40eeface61940158064d97a5eb3f1ec,16,16,2019/11/5,2019/7/19,10.824,32
0x18b7778f74c37fbeee78644f63cdb47b39c9bfe6,16,20,2018/12/15,2018/7/17,8374.22,117
0x4c7e95a85a2a9e3c07dc3661dd07edf121a23e65,16,17,2019/11/14,2018/7/28,50.1375,121
0xb15984f524cf03a3fbb7c874245045645c28fc3d,16,18,2019/10/23,2018/7/23,14056.6,450
0x6778bb3fd98dcc395d04d35e566d47c72754e4ac,16,53,2019/6/27,2018/10/18,2572.25,101
0xe859273bbca5200639bad9971bfe12437f3b5981,16,50,2019/11/15,2019/7/8,269.7,139
0x899cb2c40b76e465c6a52f8c45d71b69b1618620,15,24,2019/8/23,2018/7/20,833.204,63
0xae6a5e5340d1a3ca5ddd92b068c38695ccc4a5d0,15,20,2019/10/13,2018/7/18,287.233,94
0x73ae5e97c8059f09d32cc025f169ab0de64b736f,15,18,2019/11/26,2018/10/1,67.6127,144
0x9282cfc77281fe58273308183171d2e841f38c9b,15,16,2019/10/14,2018/7/17,39.7083,79
0x059a1c4f61f37bb23654b5224af1c7426a874795,15,15,2019/6/21,2018/7/20,30.4914,45
0xb4afa8e82696fe4f446bd29275c012cc7102708f,15,17,2019/11/27,2018/7/16,221.879,644
0x787306240071ee8a07226f2a016e04537ef5d3fd,15,16,2019/6/19,2018/10/29,57.5401,56
0x96b86fd4f07e48d8e0e77dde5d77b74e1dec07eb,14,22,2019/10/13,2018/12/12,1718.79,41
0x4c8cade133606a72b6df3812ef844020750876fc,14,16,2019/10/25,2018/11/29,132.392,38
0x9664d98b91381af7910e673c5983f83c46865dec,14,21,2019/7/17,2018/7/23,16308.3,479
0xbd70722bb79499e20a3101d16fe1667fbab72caf,14,31,2018/2/3,2017/12/21,658.686,74
0x8df736b36e96a749cda137a6bdd985375c5d414a,14,14,2019/11/1,2018/9/18,330.61,58
0x0976251027f0ea6722211733b8bce3a26ce179fa,13,39,2019/7/14,2018/10/8,1735.45,93
0x729bf418b387301e5219478cd3b909a1b6bde052,13,14,2020/1/16,2018/12/24,94.8682,88
0xcae2238e654591b4cd42fe7073df8210c8467971,13,16,2019/8/28,2019/1/4,73.0489,51
0xba50254c699db9b5bf5f6e2784b6072c56627844,13,17,2019/1/21,2018/9/11,1146.88,48
0x4a3b3f727142617651ebb1b5c41f635aa5295669,13,15,2019/6/7,2018/10/24,245.04,40
0x1ebbaef026b83f15369fa507e34eeec35679fc9a,13,13,2019/10/31,2018/8/6,76.3248,144
0xb6762d6a723f8204547a1abe03161756d6a39323,12,16,2019/11/23,2018/7/19,252.812,809
0x488e3acf9caf8138d8cd6f07856db135669af85c,12,12,2019/11/20,2018/7/17,417.223,85
0x3d0bf27da30ebfc045c637fbb43ce2e83496eb3e,12,12,2019/6/21,2018/11/5,2028.79,70
0x33d41d7098df323c02cf37fb345475f7a4e3593b,12,31,2018/12/6,2018/11/16,1202.13,61
0x475d14ceb3f7a20fb4beb9e0db6d20f76a61aa2c,12,14,2019/5/19,2018/7/19,141.904,77
0xddb7735588532b1ee9ab388b5b2e9a4c931a42a5,12,18,2019/4/27,2018/12/31,253.707,36
0xd119c8f44d3b9f4c1013b8c97a3600f9964a0c9c,11,12,2018/12/5,2018/11/25,25.5132,23
0x7dae987bbae35bfdf3b02aab2b477d0741fa2fe2,11,12,2019/6/27,2018/10/17,4.61,44
0xda366f00eb2fa0cbc029176df38fa6ffc20d9f73,11,28,2018/11/23,2018/10/26,156.536,58
0x02d5f33e9be4df07341af6a813a21aa5314ad721,11,12,2019/1/3,2018/7/18,2.38728,30
0xa5560a2d6990fff0043a5a3795ee6073e27d89a0,11,11,2019/10/29,2018/8/3,545.413,117
0x667801bd14a8fe1db8e5f69fba6f1ed693e1b4a7,11,11,2019/10/9,2019/7/22,121.719,24
0x200075d5a6c2f52d13a5dbaf44c3192654de52d7,11,11,2019/4/3,2018/8/14,27.445,34
0xfbbd5c78257c76a36f6b22bd3062044fca6909a8,11,11,2019/11/8,2018/7/28,390.939,24
0x0b0bc9fdf544d95a17638023795c826f4467dee9,11,12,2019/11/18,2019/5/13,81.8742,39
0x847984e08f5154928b6b8f6167113b8ed1f07589,11,18,2018/2/25,2017/12/29,417.646,54
0x1904e6ac5387f1dc375710131e9eb5ddab8aab2f,11,11,2019/9/23,2018/9/1,69.5848,200
0x36ee5c2a72d82b6ec7b5b775d2602944dcd37672,11,13,2019/10/29,2018/7/31,605.27,226
0x464855253d43c36b9a3cade4df56cf7d216594c2,11,15,2019/8/11,2019/7/3,463.327,34
0x3b019b5ff17db4944f03bb48422b59db11294c43,11,11,2019/10/1,2018/11/20,169.689,22
0x709442e3ee5782a59f23f14ad1967e4312c45c55,11,13,2019/4/6,2018/11/22,83.681,36
0xe2e68321c794d25326ce906d9864d65b827aa422,11,11,2019/8/17,2019/1/16,17076.5,95055
0x9679a99542b30daf75ddc83b8b2952f9712277bc,11,13,2019/8/5,2018/7/9,42.3279,1523
0x0096e47d2ed6efaa4e387d06fb6341a53f79f243,10,11,2019/7/5,2019/6/2,418.119,30
0x208fa55d4df8ca59f300f28996765c55dcc69bd6,10,11,2019/11/25,2018/8/15,89.4302,24
0x4b63cb392277e64d53b5517252370be2098ad1b3,10,27,2018/11/15,2018/10/14,892.151,53
0x4bddf759b4a41a5bc85e46b385ab5d83811ffbe7,10,11,2020/5/18,2018/9/8,122.165,24
0xa30df2442f24607464da8cf57ca414385587a9b8,10,11,2019/8/3,2018/7/18,152.04,28
0x265021b06d25d4cd05604ae3de89e04cd4e4f2de,10,23,2019/11/25,2019/7/3,652.388,49
0x9ac725ea8819e57528d8f16e2cc61afa615d12e4,10,10,2018/8/11,2017/12/20,9.47761,57
0x4c37b877eeb06c7ec35cacf3f3a4c28e4b3b1597,10,21,2018/6/25,2018/1/8,145.88,56
0xec6863c0e95472ae0600591ca19798c0d770aaf9,10,12,2019/6/25,2018/7/21,187.796,31
0x916213245055eb234d1c1fb4ba8f3ee7b5784c8c,10,10,2019/8/9,2018/8/5,848.124,82
0xcb6381d70c4f547ea40e11a09a4e0b496a50d116,10,45,2019/7/10,2019/6/30,1644.59,103
0x24bb9dc904a70fdc5321f1e51eb464f27f2a4ceb,10,15,2019/8/17,2018/7/30,59.32,43
0x37207492d535ef51f3e93848268ef183f8a8a51d,10,31,2020/1/16,2019/11/18,4674.69,90
0x67e93d79b5f667a7b62f0bc96f76e30f1248efd9,10,14,2019/9/25,2019/6/30,152.191,51
0x31bc563551b880b493498e913bc665a0b9c36ea3,10,10,2019/11/12,2018/8/16,30.8696,79
0x6525218d42ae4426c97bd5a8f1ff1625dd771df9,9,11,2019/9/22,2018/8/18,29.6404,93
0xccba6ca8ffce7e3a0282b9d6d57007fb04a80fac,9,11,2019/11/24,2019/1/8,15.4974,91
0xd1a1ca79367fb7b76df381c54ba899c30886090f,9,9,2019/6/26,2018/7/17,150.115,36
0x1e65099f7a0d2b8efdd7171e8470285fb1bda501,9,9,2019/11/14,2018/7/17,71.373,61
0x8f4bcd743a74f8288092127adb5768b8076d56ce,9,9,2018/9/6,2018/7/17,17.182,26
0x07a9f444b29810633fee70c822178c0d0157cfe6,9,10,2019/7/8,2018/8/6,205.053,46
0x0907ace967bd1d266c3e0cf35adcf9055262ee4b,9,10,2019/2/4,2018/8/8,16.5086,26
0x16bfbbfe7eb20958da53b87342a136ca7a32478d,9,11,2019/11/20,2018/7/16,955.591,198
0x838436e98891f4642f415cca01cca0d81b34d02a,9,11,2019/5/4,2019/4/11,697.602,24
0x92c06f88f12505b71fc290e44b33563c1133db88,9,9,2019/4/12,2018/7/25,130.691,38
0xc9467d104b7018de2c311cb8dd42b25579b7556b,9,9,2019/5/23,2018/9/21,166.018,18
0xeee27d8f5fb52cfbac4967d52837573c7441d923,9,9,2020/1/22,2018/8/6,22.1903,81
0x5e7a4fdbfa6b8b47043405aefe81397bc9822ccd,9,9,2019/11/27,2018/8/1,186.099,177
0xe9096cf36d03d496ac1450bea588722a4bc4715f,9,10,2019/7/11,2019/6/4,1021.13,35
0x45b04d13c599aaa5b80d8bc565be273af29529a7,9,12,2019/8/7,2018/7/21,253.4,28
0x60b9ea6dbf261552243bc0accf581468ee9fe9dc,9,9,2019/5/25,2018/7/20,169.47,50
0x4d83e24da0b1b8c04636530cfa271b025e309305,9,20,2018/12/28,2018/12/14,448.663,42
0xc71fb8aa79eaf60096ec164167c18c47648acc82,9,9,2019/11/15,2018/7/17,45.6292,62
0x5518903cf27fd95f7a1ee7c4f902474b5b1a2b9d,9,10,2019/10/26,2018/7/30,126,247
0x917dd901f4bdbb162a6f0a16eed2c94218f70ce3,9,9,2019/9/25,2018/11/13,19.9979,36
0xe34eb3c62ad5a60a5ad0c0ddaae2eb1e1d8541d9,9,13,2019/10/22,2019/8/2,597.753,26
0xef6919ea5735094aa0576e62ffa6f3b6b9332f4f,9,9,2019/10/27,2018/7/30,400.689,134
0x2aa98102bec88744611b243055ec2b93845f431c,9,9,2019/11/6,2018/9/14,434.955,145
0x0cb885b7a085778794ee6820ab4035c01d7900aa,9,17,2019/9/30,2019/8/11,413.169,33
0x735037506dbc52b510aa34f8df154027a757eec8,9,11,2019/11/11,2018/8/17,171.834,191
0x0dfc825d51b835485db1ec597dc3f04a9574f67f,9,10,2019/5/29,2018/7/20,35.6796,103
0x1d77f8f6967c86f6a7192173a1fe42a434c22a01,9,11,2019/4/21,2018/12/2,22.3726,27
0x37b40a3a994a2e45774b67992cbb1d13b9ac1cf5,8,17,2018/11/23,2018/8/29,1662.98,131
0xe703402b328734d2bcc679a9ceaab54edf346ebe,8,9,2018/12/4,2018/11/21,878.372,24
0xfedadc0bb135331fc0edbab055f621a3728420d2,8,9,2019/8/3,2018/7/19,28.484,30
0x78ff14983710d98750d4eebdec5d7a1613c1667b,8,9,2018/12/10,2018/7/17,1431.25,137
0x138708c3c55260f29c42ae1ea674ba2062d3136e,8,8,2019/10/11,2018/8/30,57.8282,45
0x4fb62039ef4f04a3aed756ccc124d1938a206e4f,8,9,2019/7/23,2018/8/3,18.3933,89
0x5994ecb1c50aeae7f98ef04a03e83a723906c40f,8,8,2019/5/31,2019/1/17,19.5097,23
0x70906c34debc7e397367a70d039c41d0841e2c50,8,9,2019/8/13,2018/7/29,26.6381,48
0x26137d2e82db0705d30fe7ed7b5ebd57fbbc8188,8,10,2018/7/2,2018/1/26,70.9712,56
0x029fd702f7de3335bc5c2399cc6171e5e6c9b8d2,8,8,2019/11/9,2018/7/30,15.4139,32
0x95e95da5c423c1b857bb2a70f2ac15cd28ff56ad,8,9,2019/11/21,2018/7/26,64.7905,371
0x6e02da6d97b3fdcd573afa56d828c2e03b5d39b4,8,8,2019/10/19,2019/5/7,55.0544,16
0xfbff5b8fb623c56355fb2af63c46e293f675bcd1,8,9,2019/3/29,2018/12/26,31.9176,18
0xc1b1337b990ab3d6c9ce645513fdf58ee0b1d51b,8,10,2019/7/17,2018/8/21,973.824,28
0xdec71dde6128b884e0ae229c552ab4e1b084f666,8,8,2019/11/6,2019/5/28,17.96,36
0xf07c101780bb66a1daa63e02717fc1479611d6c3,8,8,2019/8/15,2019/4/2,432.338,28
0x4ce0789e7caaa1c3ca966e4d7574b36c2336351e,8,8,2019/10/24,2018/10/15,34.0434,305
0x1cf1b0e430c3bd8955a4cd5b15e2ed747d050320,8,10,2019/1/8,2018/7/30,706.575,19
0x66a1e97e3cf19326490066f6db43ddb2ed069d50,8,8,2019/10/29,2018/8/9,228.858,115
0x993c3f0cd16732179b75e56606d71fdeb7fb8ea6,8,9,2019/4/2,2018/11/11,60.75,38
0x425fd62e6eddf5e2c0f00d3efc0fc472869cbe6c,8,8,2019/10/3,2018/7/23,343.915,53
0xbdf668e2380216d584a204ffe873f057dc64a5c9,8,14,2018/3/2,2018/1/8,147.533,65
0x71305c2796f2b8729f7b0ba49dcd2f17fc9befca,8,9,2019/10/25,2018/7/26,103.289,104
0xf976b2541f8084c9dbb33565fa563e5d5ddc0178,8,10,2019/11/19,2019/7/16,23.5398,74
0xa97851ac22353534186acb9faa35c147c9b3e946,8,11,2019/11/25,2018/10/14,175.968,21
0xb41d2f990989cb39b4a215215ac25aee8c7b5666,8,11,2019/11/25,2018/7/19,184.27,307
0xd22043e6c781f77e60cb398a90cc69ceae3a02dc,8,9,2019/11/16,2018/7/22,37.718,60
0x6ce01a7d131921319d91127e579175903ef1ae24,8,8,2019/6/21,2018/8/20,62.7014,43
0x6286e9c806918bc19253833dd571316674ee2104,8,9,2019/6/26,2018/7/29,317.696,19
0x072b2530bf1d0bb682a1771478ea3b2249a58677,8,9,2019/8/1,2018/7/29,929.515,22
0x25cbfe3c6b8319c714c660d7679a2fb82555f392,8,9,2019/11/25,2019/10/15,61.411,18
