过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x12d34d7a2a7e0d84811aa98ef950d8a55224c3e7,11,21,2019/6/12,2018/8/18,4485.12,937
0x0a855743143ee67e7b2c0e33243604efbb042198,11,20,2018/6/26,2017/8/6,231.223,97
0x2b7b6e3672328fcc555280ee074550e4b3e2944d,11,11,2020/3/29,2019/12/29,27.335,22
0x440ae506a80e54750879397f44450d4626a31d3e,11,25,2021/3/6,2020/5/16,4581.33,213
0x98e525dc6dab4f3b31fa3c6f726f10ee75aa44a4,11,23,2018/9/11,2017/12/29,68.586,42
0x1a4dd7201bb53397b40f18c40788294e12b233b8,11,11,2021/3/8,2019/9/1,14.905,40
0x1716e6ec943700082d7f0e44707e50f596c84e99,11,13,2018/6/26,2018/1/2,198.581,30
0xc18f05d533ee782026396c74a3e3722f1645eb4e,10,23,2018/6/25,2017/12/30,272.421,38
0xc885868a0b581c8763255daa0d5e840419f6caea,10,28,2018/6/26,2018/1/2,209.538,47
0x09d26918afb44f9303a873ca06ec1047c87e80f5,10,31,2018/6/26,2018/1/9,103.63,59
0x026629ff0aad27d4b7888d1c009faf315d0a6f93,10,13,2019/10/31,2019/6/15,5080.21,1141
0x17437451d41247e2f8de099484d12a9d084da669,10,26,2018/6/26,2017/12/7,244.231,207
0x156e04bb0d457a131316d3dcf8ab255bdd30a2a3,10,11,2020/8/26,2019/7/19,121.272,52
0x924ff2a7840020e9b1bbc811ac7cd130e0a2ea3b,10,34,2018/6/25,2017/5/11,3842.54,133
0x4e85bbbf1dd4398b752e36d747872b07f33a8225,10,13,2018/11/19,2018/9/23,851.688,625
0x7c5224d85a0adaeb79c1cddc031177be3889673d,10,41,2018/6/25,2017/6/28,4680,67
0xef8d29606f749e1fad157b24f70403f842c46ec6,10,17,2018/6/24,2017/12/22,102.784,29
0x8d6e98747b0447c3095c5e47c979320c7bc4a183,10,14,2018/6/26,2017/7/2,1174.04,65
0x861e39ebf86046e970c71f0b68bb429970e91d56,10,12,2018/6/25,2017/8/27,390.868,26
0x2d15c16ddb927b6e55659c07006ed8aa7417bc45,10,15,2018/6/27,2017/7/19,406.464,76
0x19f7017816753db590085ec2976ea19f6e7ec423,10,21,2019/4/7,2017/5/17,1721.47,403
0x2828406baa96d79801d15580b8a89a86f0c0cec5,10,10,2020/4/9,2019/11/6,21.928,51
0xdf7b1254a91b76ae8f4c1d3114aec2e5152294c2,10,39,2018/6/23,2017/8/31,654.763,83
0x06168aafdead8944bc39472a6e6e3a6094156c08,9,12,2021/2/25,2019/6/20,131.871,492
0x7e8846e0694c632605d73f0667c2ecc2dbe82fd4,9,18,2018/6/25,2017/12/29,64.797,34
0x0543cd77f61c15c8400907ed6289c1426f5bba30,9,13,2018/6/26,2017/8/11,1144.73,58
0x4e808384312d893eaea0eb64191f18b561640273,9,17,2018/6/24,2016/10/21,2079.39,558
0x9e7723c840905f2bf3546bab94750bc3677d656b,9,16,2018/6/26,2017/11/1,327.61,178
0xbe65f45173fb1c3308b800ed7eab96643e7b2c49,9,30,2019/4/8,2018/1/24,1208.84,1169
0xdec4fb2ff76659fd90f99c16f9b385855876ec44,9,31,2018/6/23,2017/8/1,1629.67,118
