过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0xf57247f65068da5c711c816de87ca0bc3f0a9bfa,18,32,2019/6/17,2018/7/18,439.565,87
0xeff29f38099a3067536df386e7179c6e2eefc38c,18,18,2019/11/27,2019/3/9,542.714,91
0x735037506dbc52b510aa34f8df154027a757eec8,18,20,2019/11/11,2018/8/17,347.913,191
0xf5d76ddab8a80256e79aebeb3330a0f47e3e7dd9,18,25,2019/11/19,2018/10/6,2125.46,197
0x47f44eec91e614d10895aa1799d599a568b8229d,18,18,2019/9/4,2018/7/20,180.802,201
0xd7486e594c10fa2e38136fcb410d53e2d289af69,18,20,2019/11/18,2018/7/16,298.664,1343
0x99c54fd7f52998031a8b705a1bfe03de0b2bad41,17,20,2018/12/11,2018/7/20,9690.05,91
0x1230ff58b5dcfc7b707f2ceff07bfabc014ac377,17,34,2019/5/29,2018/7/19,629.564,170
0xa4f29cc8ec56310a37c38db5fc164f4ce6548b66,17,26,2018/6/4,2017/12/5,256.14,532
0xced1abf9c1cfff981f1912b2b7896809bfb8f1d1,17,19,2019/11/22,2018/8/13,155.907,74
0xc2b6f0c2d5ec386fbc13d772e0e0bd3a2cb0ea69,17,35,2019/8/22,2018/7/26,2012.25,79
0x16bfbbfe7eb20958da53b87342a136ca7a32478d,17,22,2019/11/20,2018/7/16,2027.31,198
0xe79f50f4f2546740c70b1a0097a23d2debb8c35a,17,21,2019/4/3,2018/7/19,112.808,45
0xcfd76d006bd78f1e1897a4a2b568a0f7e5788366,17,18,2020/8/17,2018/10/26,273.406,128
0x72aab7e8e44c03f17f2268e76e7be6faf5a6473b,16,16,2019/11/20,2019/2/8,280,44
0xc318e531f67d2f86f1b62dab45cee3f409f4c673,16,20,2019/9/20,2019/3/5,39.4929,40
0x9414395fc0dd88f02f56b71f21419acdc524eca4,16,21,2018/4/20,2018/2/16,156.111,45
0x1756c98ab0c13d670bce3705d17e5039b40a3d6d,16,23,2018/7/6,2017/12/28,34.5475,652
0x5845dabd41f63f15c08e20b5805d70906de2868b,16,21,2018/6/4,2018/1/12,193.127,275
0x28e0747209ac3fe0be47419735cc28c7c3e93c7b,16,27,2019/9/20,2019/4/9,284.921,43
0x7041fde65678c4f260c128dcee2a6881a2dda2ff,16,18,2018/7/2,2018/2/24,12.9863,52
0x3e3453eb3b20621cac725eb41446d55010faa8a6,16,50,2018/6/4,2017/12/22,244.424,96
0xb89ed961fa874246c7fb6359bc9c6eda8ded1145,16,17,2019/11/12,2019/5/3,61.0824,40
0x249c6a21843288bd46ecb45ce8d879a23d352a62,16,16,2019/11/1,2018/7/19,29.33,728
0x7e51d82ff34614897ddb5d1f9f238cc0892fb4cb,16,18,2019/11/27,2018/9/4,111.799,119
0xa03e49897750c1cd6b2163942a1cc148968a0c8a,15,32,2019/11/22,2018/8/13,396.741,135
0x58ab6a2bdc7f7539ce3ae68704d20a59a614c2cf,15,17,2018/4/9,2018/1/1,77.6564,34
0x85fe9ba126ec90be3d347a3c7d57279a1bb35888,15,18,2018/5/25,2018/2/2,110.604,84
0x7ffbad7369e08dd9238186824dd939b7b09d3396,15,17,2019/11/15,2018/8/10,432.161,871
0xb305a8b5e8ced6233e2df9caf15c0cfb2adf22c5,15,15,2018/4/18,2018/1/8,35.3942,34
0x8216caad4ac0853a2612b042dc776fe2d7c683c4,15,65,2018/8/28,2018/8/10,1455.04,126
0xffbd96c12f41a1342ac03c0d5c8c9b2f17499134,15,18,2018/6/29,2018/1/18,110.797,98
0x31d6d76d9869da4abb710d4f64e1195284c3bc41,15,20,2018/9/3,2017/10/30,82.65,814
0x70119db2d4097146edfde2a71aa9bd80be095953,15,16,2019/9/17,2018/7/17,716.41,68
0xb9623b3b93ce6a9084928b9e90d605c64e7a306f,15,24,2018/5/25,2017/12/24,134.986,52
