过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x0d9389176aea9c3d1dad1ae9e9e18b3b4937ba9b,12,24,2020/5/10,2019/7/2,2024.32,45
0x0037d662cfb470ba666a58864566f6d1ab3ceec6,12,13,2019/10/28,2019/6/13,656.25,409
0x2b6cdeb22e0d5be7d66d2681acab10f6dc85a228,12,17,2018/11/27,2018/9/28,764.93,29
0x000e1ba0d530b95300667c06e362055b10ea638f,12,14,2021/3/8,2019/6/13,13388.8,863
0x134d2bd0f139ace12f21f0af28ba09e7ec54913f,11,12,2019/6/11,2018/11/13,51.4534,90
0x260cf18f1a768c32012879e6c960fdf6ffa94a57,11,31,2019/4/3,2018/11/26,510.5,644
0x003ef3de8bdb97532d71e06d50f93769bdc339ad,11,16,2019/9/18,2019/6/22,851.973,38
0xf863937f64f054920bbcf7ef79e244cb20b5f459,11,13,2019/3/25,2018/11/20,93.67,34
0x103717f9a6230bbfc2e2d78f77b67ffdeda1c8ad,11,14,2020/2/10,2019/7/5,51.7679,409
0x05e7408b97c56ad5526bea95418e95a8f809f233,11,18,2019/11/13,2019/6/20,1222.82,36
0x2bc543423575b513c2687b2f8ef54f795f3adfbe,11,13,2019/6/17,2017/6/18,1006.89,1067
0x42fe0cd5947ff59da6e548781c30dd5a73e32f3a,11,11,2021/3/5,2020/5/10,429.418,483
0x274d7db6c132a396d4338263dd5035a5cc73b2bf,11,11,2020/7/28,2019/10/31,726,301
0x3700e66a0f1e2638149925c0521241a34c0db5e0,11,29,2018/10/25,2018/8/24,248.466,49
0x2ae11032b0b4aefb4bd45729842bb7ae8661057d,10,13,2021/3/8,2019/11/28,1651.78,63
0x0bb24de6c5fd9d0826f709f7e63716c4ff1393de,10,11,2020/3/16,2019/6/28,471.197,29
0xa8561ddbc2e32a43f016bf4fa6d7ab9099bf52d8,10,13,2019/5/6,2018/12/18,150.407,35
0x0054121acbf5daaba2b274d1662750c542bf2e52,10,49,2019/11/12,2019/6/14,3783.64,166
0x32d5196b36679a4ea99db063cfe8d179e1475555,10,10,2019/1/15,2018/12/3,22.5524,18
0xf71fb740126b18b5e2292b547575d637a3428259,10,32,2018/9/12,2018/8/20,2347.38,64
0x1a20adbcd4c53700d56c45f2e69db413af1e712f,10,23,2019/8/18,2019/8/9,1495.69,48
0x2b549bcd54ac2e77783a6253d7b3849c3865dfa8,10,12,2019/2/10,2018/8/5,5291.99,89
0x0c2836683cb6311b161808de1bc0c368e613bfa6,9,9,2019/3/24,2018/12/3,98.87,20
0x3c7a7c0d768f5853c86ad1a8477d09a1e30f3a4b,9,13,2020/9/8,2020/3/18,328.511,29
0x045eafa2ae7c13adfcb0cbcf47c9085587337b94,9,24,2018/12/11,2018/8/21,423.261,60
0xaffcf66726f4fee5eea6db64182a1e46db5152ac,9,30,2019/6/5,2018/10/17,12.255,298
0x126941a9d57f394f12ceecb40d004a99ddb73286,9,10,2021/3/8,2019/7/10,234.754,23
0x108afbf45bda8641f28bcf86dbdd2aad6e23d66c,9,9,2020/12/19,2020/5/9,545.174,130
0xf1b2022ee409b9fca060e2e667128147e13db798,9,28,2019/3/26,2018/11/13,1043.19,111
0x3d9776817e53ca8c784ea974de3e98ed181e7b4c,9,19,2018/7/27,2017/6/1,274.257,340
0xb8f6d808fc5b3a3a4909b0ebdcbb76501d63c279,9,11,2019/5/3,2018/8/24,124.503,577
0xf79ccd34f22dda306374049f27fd07a0de4bb5d2,9,9,2018/12/16,2018/8/5,5036.17,122
0x02ec5524651ee52f4a85cb271717bae9f2282525,9,11,2021/2/1,2019/6/30,22.88,87
0x7807bd166433de2c55c5a0968db7400c1f4f8949,8,33,2018/10/25,2018/10/11,1171.72,35
0x045ff09fa8aac0f18943cff69f5b1ec4352fd0ef,8,13,2019/6/8,2018/10/30,353.886,224
0x232c6f11adbcb0e6d6f3411506e8a75e84ba2ccb,8,20,2021/3/8,2019/10/1,281.969,2024
0x17ed8f6283e5b8e041f8cc284abb2a2260d92c37,8,11,2019/6/12,2018/8/9,126.464,64
0x31f16274884795741b725b886aa6a470c3e4b962,8,8,2019/4/19,2018/10/25,159.928,23
0x0502075974741a4baba5e09358280afa8faf93bd,8,9,2021/3/7,2019/6/18,56.73,185
0x536860507f2b78eeb0e2b29ebe057189b750fd7f,8,10,2018/9/11,2018/8/8,1484.56,19
0x41ae3c39712263513ada56e2ae9df24ee03dd4ce,8,13,2019/2/28,2018/11/9,1073.04,46
0x0cfb42639e2fac6068f3c90001be963721670258,8,9,2021/2/4,2019/9/13,39.973,131
0xcf15cb2518b2684a913b83b8c9f02dddc067ced1,8,18,2019/5/8,2018/10/17,3673.91,72
0x208b9bc9cdeef551da8804ac30949134e55fae79,8,11,2021/2/20,2019/9/17,1003.83,175
0x33dcf471e703d4914f768bc93156de81c9ce894f,8,8,2019/1/31,2018/11/5,40.1428,18
0x08bfb1ea5defe79d226f02a4bc78e8b67cf7a978,8,12,2019/9/3,2019/6/26,3180.69,149
0x08fffa492b18a95a4fb76215df73e1d18fcdb6df,7,22,2020/8/14,2019/6/28,717.155,78
0x1aa4d9118f8c0e295d06d3cef69fe5bc6e5e75cf,7,7,2021/3/5,2019/8/22,347.397,28
0x3873ff546d93e174be342ea7b37ab8e1b960a7ab,7,7,2019/5/25,2018/8/23,99.1066,32
0x9e61fbd6cccf243606e5c3480dccc93c3878deb0,7,7,2019/7/25,2018/8/22,6.94486,45
0x0bf09a741eb43210a9fd212d25569401cc7497da,7,15,2020/8/7,2019/6/28,1126.58,32
0x4712d7af0f31036281cf813b6d76f814c3f16849,7,11,2018/8/27,2018/8/14,123.266,29
0x14b2234e185e263222c6725aa042194f3f8704f8,7,7,2021/3/6,2019/7/17,98.8543,16
0x1af63f8bace7e7ef9ba031909d6db9dd81a664b2,7,7,2021/1/25,2019/8/14,15.4371,97
0xd91e6938906954b7b2381f5ccc03e390f4920c8f,7,7,2019/1/14,2018/8/5,6.48829,65
0x179b304506b290db1884253f4b789010040ea878,7,8,2019/9/20,2019/7/28,25.6681,20
0x3c697be012832a189fa334549aa0b6aab8320042,7,7,2018/10/25,2018/8/12,11.5816,18
0x65a7f3de0b42dd51f6772e8b74695f9ea17e0320,7,11,2018/9/8,2018/8/21,162.141,24
0x30f325911892173c4e13c5dbd084311680d66c18,7,10,2018/12/10,2018/10/7,1191.29,13
0x02638c94ab52659d8e579069f0e0007ecfbdeadf,7,9,2019/11/10,2019/6/15,4330.5,1768
0x7510bf2683506bf0fa65c38a6382cdbfc58c6180,7,7,2019/5/22,2018/11/10,17.0077,30
0xeba93508c1617e187204733377f27a19e6db7f4f,7,9,2018/10/11,2018/8/24,994.871,27
0x50344b5df0109cad1dae63256c9ff92d792ed7f8,6,6,2019/4/19,2018/10/3,35.4198,15
0x0e9a83010bfd36baa3649cfcf85e7fb4b93fea62,6,7,2020/3/16,2019/7/2,878,20
0x256dc5e9c4b717dcfb73ad7c9d98b141a720d175,6,6,2019/11/14,2018/8/28,159.97,554
0x1a9bb8690bc2be30a238d7a6736ba17ab87184bf,6,12,2020/5/7,2020/3/9,645.031,21
0xee2c5bcbb398731547ad56d7780eec539f5b6a12,6,10,2019/3/5,2018/10/11,438.74,15
0x21df636b4556871142c8316f3ea58f1586b4f336,6,6,2020/7/5,2019/9/24,31.0379,14
0x923cdbfca386bbd5fb5e6a10ebc170cdc65a9a17,6,6,2018/9/25,2018/8/15,337.108,16
0x0e09d6eb9f756c7523764772ece20b19c0a94ae1,6,6,2020/12/11,2019/11/9,414.629,117
0x1eb839ea3026217617cf068b453e5a23e9eb127c,6,6,2019/12/2,2019/9/4,429.97,18
0x10622607be5ac77b68a0e1f9e5a359b3c0d69a72,6,6,2019/5/28,2018/9/1,477.444,12
0x2b88c6e7de926c68e8d4d3ede285644c2aa04c71,6,6,2021/2/23,2019/12/2,5012.06,76
0x4040b1765ce4857e43cf171607eb9018317cc2d9,6,6,2019/1/16,2018/11/6,29.594,11
0x257fa2f8709bc37f060e01fe6b449bb1ce0d6416,6,8,2019/6/12,2018/8/6,143.471,196
0x386a3218a0776fe793ea7239a6d06f58feaa40ba,6,8,2020/8/28,2020/2/25,440.629,30
0x2bcfa05640161ffeffe04af70522972183628295,6,8,2020/7/21,2019/12/3,307.826,37
0x19e9ab31ee0abd8824cf50628d5f58cc47470f10,6,11,2020/7/12,2019/8/7,652.678,27
0x04ba2290c29a9f0fd33118118acf6b994a0e458b,6,11,2018/10/25,2018/10/4,407.372,14
0x1189790acf3cf9bc87eef4b9f5939c4f0c0bdf97,6,7,2020/1/7,2019/7/8,762.776,18
0x14833805614e62e14ec4b136252e048758b94173,6,6,2020/3/8,2019/7/17,2504.96,18
0x3b6dff8c41418254ac110fa6773a651b4c46458c,5,7,2020/5/10,2020/3/14,545.342,13
0xf943e32b91e68846267eaad8c950f38acc7ea130,5,5,2019/11/14,2018/12/20,87.9662,18
0x24841e89fe28baca0a86f87d7db9cc930f8a6e4b,5,5,2021/1/18,2019/10/11,131.933,80
0x2ea9390e517672eb7c555e50ca34020b47ef53a9,5,7,2020/2/23,2019/12/21,537.383,42
0x0e09b81468b9f5b6446aa3c9283f9db1107191f1,5,7,2020/2/20,2019/7/1,4.91393,21
0xebb28bddf4435be30fe25f9765587ca7421e7635,5,6,2019/1/10,2018/12/25,70.1098,12
0x2a8da4ef3a09bf4a1527bf4cd7855a5bac45ac78,5,6,2021/3/8,2019/12/8,27.0252,75
0xfee2ac6db08194b7b252150d0f0543601137737f,5,5,2019/3/18,2018/11/13,64.97,14
0xedf54b6d814d93434be111aee122766f7b20b453,5,6,2019/1/28,2018/8/31,109.97,12
0xa67f3f34f81c468e9b117070ee7300f760cc571d,5,7,2018/12/13,2018/11/8,255.3,14
0x1ef2a55036b94f9c3e3eef46f703a481e27e4897,5,5,2019/3/12,2018/11/12,405.33,14
0x14921f29840011bf1585fd83d857fe93d4e8eadb,5,5,2021/2/10,2019/7/17,4.49898,92
0x206ae523f6c5abc76efc40a2ca2e819f2e4317c6,5,5,2019/10/26,2019/9/16,51.2532,12
0x03969c71796d3b5a8e34e63accfd87a117144828,5,10,2018/8/17,2018/8/12,264.67,16
0x08337fabdf2c2743272ebdb541404feb78b314d1,5,6,2021/3/3,2019/7/4,133.288,143
0x4d90b24c76569a7cb438ed391769e9046edff8b9,5,8,2020/3/21,2017/6/20,125.521,455
0xd1f90155f2616d5ef19214bf1588c0c9e76bf74b,5,6,2019/1/31,2018/11/9,19.2067,14
0xa92d5f4ed8447c5c34db1224ebbe06ef7c4c5465,5,5,2019/6/13,2018/8/17,51.4366,23
0x10e66d6320ab21d2d41e6c342ec28ba56af5d3c4,5,5,2021/2/14,2019/7/6,20.025,37
0x1993b478fea044518d2b1131b7f212fcd177c0a6,5,5,2019/11/15,2019/8/7,1914.88,1236
0x04a8ac2b95cb65eeb4ec45e654a2b377ab57c204,5,6,2018/8/29,2018/8/24,25.5855,14
0x37bdd123cf9a7cf9146215bc7e53363759dacb32,5,6,2020/3/16,2020/2/22,738.077,14
0x89bdb1c6878de791e1c0dca85f6a9324a8cc109c,5,5,2019/6/10,2018/8/5,431.897,102
0x04efe44b44df67d121327cd3c0ad694ba15f8fcb,5,6,2021/3/4,2019/6/18,104.515,471
0x326a5cf1778f27bee6b984466c4c9fc0bc9f2c61,5,6,2018/11/21,2018/8/5,2141.69,67
