huobi -> bithumb
                    to1                     | date_count |            amount            | is_contract 
 0x000e1ba0d530b95300667c06e362055b10ea638f |         18 |   1891022903000000000000000 | 0
 0x99968f71044a679a4f5b3b89d3f8d1ced74055b0 |         17 |       817650000000000000000 | 0
 0x2a675f3ab4ed10b9cad5eb71b635b795e6f0a9f2 |         17 |      2072484000000000000000 | 0
 0x332504b90899f863f0eaa6fbffa9083a10047bb5 |         16 |    726989835000000000000000 | 0
 0x02638c94ab52659d8e579069f0e0007ecfbdeadf |         16 |    445477800000000000000000 | 0
 0x39e3af12434bd2e7f9bc810769f8bbb4ee8fb728 |         15 |   1530483208000000000000000 | 0
 0x08bfb1ea5defe79d226f02a4bc78e8b67cf7a978 |         14 |     63424548000000000000000 | 0
 0x3cff0ec634493937ca6c6d3f3618aeaf9c845dc6 |         14 |      5991852000000000000000 | 0
 0x0000b446bc8b47be5ef8d5ea8964508130e77ce0 |         14 |     35514750000000000000000 | 0
 
 okex -> upbit
                     to1                     | date_count |            amount            | is_contract 
--------------------------------------------+------------+------------------------------+-------------
 0x11817afb29279703c5679959417015328ca6a0d1 |        165 | 1383000.20000000000000000000 | 0
 0xc6776d2cc3f8d338f9d31fb805c4c7f806ecc38d |         63 |     3374570.7380000000000000 | 0
 0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10 |         59 |    13142946.1280000000000000 | 0
 0x396bcf4a2c38c7aa5e9790e47c7f9844b8f0a60d |         57 |     5085754.4530000000000000 | 0
 0xe50c5205da1880afe520becaaec3964ce44f55f7 |         54 |     3658725.6160000000000000 | 0
 0x796d41eeb2a12668fd6330edaf81a34365f94e96 |         52 |    10410847.2160000000000000 | 0
 0x31d32ddb237b9b8ec893b0ac529e36a48af21955 |         52 |     9569947.5960000000000000 | 0
 0xb15984f524cf03a3fbb7c874245045645c28fc3d |         39 | 6208468.20000000000000000000 | 0
 0xd68ecd78e18b1024a002716e0116a0699571a6c0 |         37 |     3404650.1680000000000000 | 0
 0xcb2742d0b23099cd8a483c20114501594e5595f4 |         37 |    13383324.1150000000000000 | 0
 0x050a9cdb3df822e27ae1dd08444ff1fb64a5ee64 |         36 |  121518.72000000000000000000 | 0
 0x27af87f6017190d4733617af5e30b44f140f247c |         35 |     1415986.3750000000000000 | 0
 0xd53d20eba9aa3679d4dd0219ec4cffb4b2368926 |         35 |     2602435.8420000000000000 | 0
 0x95ba4d6788f3ae4df22bf7bf7c292eaf1eba741c |         32 |     1402175.8100000000000000 | 0
 0x3f332a6a2573e66d5fb9f4b69c21f9121d1f8297 |         31 |       36096.9840000000000000 | 0
 0x23c98c5e42bf981f3ebe9739839906714630c83f |         27 |     1928479.6080000000000000 | 0
 0x5aeea6e45419f313d210810970098d66a3637da8 |         22 |   41041.38000000000000000000 | 0
 0x6ead2f3ac3a16132d6d99670809b98477f0a47de |         21 |  141431.81600000000000000000 | 0
 0x50189beed00aa0a8ab4505289e11e7f7c61f88c9 |         21 |    6104.74800000000000000000 | 0
 0xa39882300552eb5ae793b21a8522e194ab040f1b |         21 | 2105032.80000000000000000000 | 0
 0x4c6aa3d7b6137d7efa880dcf6dbcf6395091f3ff |         20 |     4426327.0000000000000000 | 0
 0x7bf1a5d764fe890f3ddf875d4ffb0a332f37bf1e |         17 |     8747551.6920000000000000 | 0
 0x50a28be403c521a4dccde9a05d77893675558035 |         17 |       13970.9700000000000000 | 0
 0x96cabd147706c5e11afcffffbfb95bae1718ec01 |         15 |    1686.04800000000000000000 | 0
 0x9664d98b91381af7910e673c5983f83c46865dec |         15 | 2543638.50000000000000000000 | 0
 0x79984196b8c95dd8df90c8909b3cf480f1f15771 |         14 |    2227.69300000000000000000 | 0
 0xd0cbf326b482147d4cac80a1e8eaaed426beb6f0 |         14 |      43.44800000000000000000 | 0
 0xe80b2675c9d0edb593aec4c16e1e857d38cc341b |         13 |    1044.21000000000000000000 | 0
 0x79b0206fd448b9d8da9c37cbad476be1286abf55 |         12 |      23.83500000000000000000 | 0
 
 
 
 binance -> bithumb
                     to1                     | date_count |             amount             | is_contract 
--------------------------------------------+------------+--------------------------------+-------------
 0x0681d8db095565fe8a346fa0277bffde9c0edbbf |        685 |  18835192.20000000000000000000 | 0
 0x0084dfd7202e5f5c0c8be83503a492837ca3e95e |        390 |    1186300641.9638155600000000 | 0
 0x007b8eb47956bc6e92f35647132280382d897c46 |        281 | 258869036.42169099000000000000 | 0
 0x0090e6471ca6c4fe7ffff328666c58b2c4035b61 |        265 |  44300726.50000544000000000000 | 0
 0x000e20a2eefa97815f3f5057fcd8920acf1ae0de |        256 |     395722578.9120000000000000 | 0
 0x007d89690f5626b5b0f41a6a7a07e579ee363181 |        256 |      14761652.0610000000000000 | 0
 0x00253e4fc8f05d5e100a2a2c703fc82f05593b9c |        155 |        630067.9420000000000000 | 0
 0x20022757ea8a0feaccaf15a1ff7e87916a32d421 |        143 |   3890888.40000000000000000000 | 0
