Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1179    0.037    0.000    0.037    0.000 {built-in method _thread.allocate_lock}
      356    0.037    0.000    0.060    0.000 sre_parse.py:342(_escape)
      380    0.036    0.000    0.124    0.000 {built-in method builtins.sum}
      348    0.035    0.000    0.058    0.000 socket.py:81(<lambda>)
      341    0.035    0.000    1.039    0.003 version.py:48(parse)
     1361    0.034    0.000    0.034    0.000 inspect.py:2514(kind)
      909    0.034    0.000    0.046    0.000 inspect.py:2781(<genexpr>)
     1480    0.034    0.000    0.034    0.000 grammar.py:382(generic_visit)
      228    0.034    0.000    0.084    0.000 sre_parse.py:84(opengroup)
      309    0.034    0.000    0.795    0.003 _signatures.py:622(expand_sig)
      531    0.034    0.000    0.052    0.000 <frozen importlib._bootstrap>:780(find_spec)
      612    0.034    0.000    0.051    0.000 {method 'extend' of 'list' objects}
      536    0.033    0.000    0.050    0.000 inspect.py:505(_is_wrapper)
      552    0.033    0.000    0.088    0.000 <frozen importlib._bootstrap>:151(__exit__)
      531    0.033    0.000    2.603    0.005 <frozen importlib._bootstrap_external>:1149(find_spec)
     1186    0.033    0.000    0.039    0.000 {method 'add' of 'set' objects}
      147    0.031    0.000    0.060    0.000 functoolz.py:195(__init__)
       55    0.031    0.001    0.059    0.001 posixpath.py:338(normpath)
        2    0.031    0.016    0.880    0.440 _signatures.py:659(create_signature_registry)
      320    0.031    0.000    0.078    0.000 inspect.py:2732(__init__)
      922    0.031    0.000    0.046    0.000 {built-in method from_bytes}
      580    0.030    0.000    0.101    0.000 version.py:82(__eq__)
      879    0.030    0.000    0.030    0.000 sre_parse.py:167(__setitem__)
       17    0.030    0.002    2.083    0.123 {built-in method builtins.sorted}
      471    0.030    0.000    0.417    0.001 pyparsing.py:1167(copy)
    33/32    0.030    0.001    0.095    0.003 {built-in method _imp.create_dynamic}
     1026    0.030    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      471    0.029    0.000    0.044    0.000 copyreg.py:87(__newobj__)
      164    0.029    0.000    0.029    0.000 {built-in method posix.listdir}
     1180    0.029    0.000    0.029    0.000 {built-in method builtins.callable}
      447    0.028    0.000    0.060    0.000 {built-in method builtins.all}
      278    0.028    0.000    0.124    0.000 _signatures.py:596(num_pos_args)
      237    0.028    0.000    0.045    0.000 descriptor.py:290(__new__)
      451    0.028    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      462    0.027    0.000    0.041    0.000 types.py:135(__get__)
      393    0.027    0.000    0.041    0.000 enum.py:353(__setattr__)
      733    0.027    0.000    0.041    0.000 _signatures.py:607(<genexpr>)
      451    0.027    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
       55    0.027    0.000    0.200    0.004 typing.py:613(_remove_dups_flatten)
      102    0.027    0.000    0.715    0.007 typing.py:1099(__getitem__)
      860    0.027    0.000    0.027    0.000 __init__.py:2095(__bool__)
      133    0.026    0.000    0.079    0.001 pyparsing.py:3260(__init__)
  300/200    0.026    0.000    1.144    0.006 functoolz.py:862(num_required_args)
      536    0.026    0.000    1.535    0.003 inspect.py:2811(from_callable)
  363/320    0.026    0.000    1.051    0.003 typing.py:676(inner)
      536    0.025    0.000    1.560    0.003 inspect.py:3063(signature)
      148    0.025    0.000    0.043    0.000 typing.py:852(_next_in_mro)
      832    0.025    0.000    0.029    0.000 {method 'update' of 'dict' objects}
      147    0.025    0.000    5.968    0.041 sre_parse.py:844(parse)
      255    0.024    0.000    0.045    0.000 genericpath.py:39(isdir)
      844    0.024    0.000    0.024    0.000 _weakrefset.py:36(__init__)
      309    0.023    0.000    0.099    0.000 _signatures.py:603(get_exclude_keywords)
      211    0.023    0.000    0.700    0.003 inspect.py:2086(_signature_from_builtin)
      878    0.023    0.000    0.023    0.000 {method 'isidentifier' of 'str' objects}
       84    0.023    0.000    0.061    0.001 version.py:305(__str__)
      275    0.023    0.000    0.136    0.000 typing.py:646(<genexpr>)
      131    0.023    0.000    0.053    0.000 posixpath.py:154(dirname)
      230    0.022    0.000    0.042    0.000 sre_compile.py:376(_mk_bitmap)
      431    0.022    0.000    0.034    0.000 inspect.py:277(isbuiltin)
      178    0.022    0.000    0.062    0.000 posixpath.py:121(splitext)
      535    0.022    0.000    0.027    0.000 <frozen importlib._bootstrap>:707(find_spec)
  300/217    0.022    0.000    0.052    0.000 typing.py:553(_replace_arg)
      549    0.022    0.000    0.022    0.000 <frozen importlib._bootstrap>:369(__init__)
      168    0.022    0.000    0.353    0.002 __init__.py:2118(distributions_from_metadata)
      684    0.022    0.000    0.022    0.000 {built-in method builtins.chr}
      431    0.022    0.000    0.057    0.000 inspect.py:1813(_signature_is_builtin)
      147    0.022    0.000    4.928    0.034 sre_compile.py:542(_code)
  223/166    0.021    0.000    0.045    0.000 typing.py:336(_get_type_vars)
  172/127    0.021    0.000    0.073    0.001 typing.py:580(_subs_tree)
      552    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
      485    0.020    0.000    0.029    0.000 typing.py:1089(__eq__)
      635    0.020    0.000    0.020    0.000 {method 'rfind' of 'str' objects}
      578    0.019    0.000    0.815    0.001 _signatures.py:665(<genexpr>)
      536    0.019    0.000    0.019    0.000 {built-in method sys.getrecursionlimit}
      451    0.019    0.000    0.019    0.000 {method 'read' of '_io.FileIO' objects}
      247    0.019    0.000    0.029    0.000 pyparsing.py:363(__new__)
      692    0.019    0.000    0.019    0.000 version.py:282(<genexpr>)
      531    0.018    0.000    0.018    0.000 {built-in method _imp.is_frozen}
       84    0.018    0.000    0.258    0.003 __init__.py:2576(from_location)
  247/238    0.018    0.000    0.039    0.000 pyparsing.py:372(__init__)
   109/70    0.018    0.000    1.355    0.019 expressions.py:454(_uncached_match)
      294    0.018    0.000    0.029    0.000 sre_compile.py:539(isstring)
    111/5    0.018    0.000    0.106    0.021 pyparsing.py:3319(streamline)
      407    0.018    0.000    0.028    0.000 pyparsing.py:3581(<genexpr>)
      513    0.017    0.000    0.017    0.000 {method 'encode' of 'str' objects}
      349    0.017    0.000    0.028    0.000 socket.py:86(<lambda>)
      713    0.017    0.000    0.017    0.000 inspect.py:2506(default)
      178    0.017    0.000    0.029    0.000 genericpath.py:117(_splitext)
        1    0.017    0.017    0.059    0.059 status_codes.py:107(_init)
      227    0.017    0.000    0.026    0.000 descriptor.py:729(__new__)
       84    0.017    0.000    1.103    0.013 __init__.py:2021(_by_version)
      350    0.017    0.000    0.028    0.000 socket.py:91(<lambda>)
      248    0.017    0.000    0.025    0.000 Tron_pb2.py:5(<lambda>)
      694    0.017    0.000    0.017    0.000 {method 'values' of 'mappingproxy' objects}
      237    0.017    0.000    0.040    0.000 symbol_database.py:69(RegisterMessage)
      552    0.017    0.000    0.017    0.000 <frozen importlib._bootstrap>:143(__init__)
       26    0.017    0.001    0.076    0.003 traceback.py:319(extract)
      693    0.017    0.000    0.017    0.000 inspect.py:2817(parameters)
       60    0.017    0.000    0.030    0.000 sre_parse.py:266(getuntil)
      528    0.017    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      287    0.017    0.000    0.028    0.000 functoolz.py:867(<genexpr>)
      252    0.017    0.000    0.801    0.003 version.py:107(__init__)
      426    0.016    0.000    0.016    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      471    0.016    0.000    0.018    0.000 {method '__reduce_ex__' of 'object' objects}
      519    0.016    0.000    0.016    0.000 version.py:420(_parse_letter_version)
      489    0.016    0.000    0.025    0.000 typing.py:971(<genexpr>)
      174    0.016    0.000    0.046    0.000 _weakrefset.py:58(__iter__)
      451    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:35(_new_module)
      316    0.015    0.000    0.545    0.002 _signatures.py:615(signature_or_spec)
        9    0.015    0.002    0.030    0.003 datetime.py:356(__new__)
     76/8    0.015    0.000    0.223    0.028 pyparsing.py:3397(parseImpl)
  453/448    0.015    0.000    0.019    0.000 {built-in method builtins.hash}
        2    0.015    0.007    0.015    0.007 {built-in method posix.read}
      580    0.015    0.000    0.015    0.000 version.py:84(<lambda>)
      491    0.015    0.000    0.015    0.000 <frozen importlib._bootstrap>:424(has_location)
      237    0.015    0.000    0.024    0.000 symbol_database.py:87(RegisterMessageDescriptor)
      147    0.015    0.000    0.024    0.000 sre_parse.py:223(__init__)
       84    0.014    0.000    1.049    0.012 __init__.py:2027(<listcomp>)
      147    0.014    0.000    0.095    0.001 sre_parse.py:828(fix_flags)
  151/119    0.014    0.000    0.017    0.000 sre_compile.py:414(_get_literal_prefix)
      713    0.014    0.000    0.014    0.000 inspect.py:2502(name)
       44    0.014    0.000    0.308    0.007 __init__.py:2185(_handle_ns)
      535    0.014    0.000    0.014    0.000 _virtualenv.py:54(find_spec)
      228    0.014    0.000    0.272    0.001 sre_parse.py:96(closegroup)
      451    0.014    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       30    0.014    0.000    0.027    0.001 inspect.py:2861(_bind)
      173    0.014    0.000    0.022    0.000 version.py:474(_cmpkey)
      410    0.014    0.000    0.014    0.000 {method 'get' of 'mappingproxy' objects}
      451    0.014    0.000    0.014    0.000 {built-in method _imp._fix_co_filename}
      491    0.014    0.000    0.014    0.000 <frozen importlib._bootstrap>:307(__init__)
      573    0.013    0.000    0.013    0.000 {method 'span' of '_sre.SRE_Match' objects}
      316    0.013    0.000    0.015    0.000 enum.py:28(_is_dunder)
      316    0.013    0.000    0.014    0.000 enum.py:36(_is_sunder)
      491    0.013    0.000    0.013    0.000 <frozen importlib._bootstrap>:311(__enter__)
      519    0.013    0.000    0.013    0.000 {built-in method builtins.max}
