Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _mode_gcm.py:148(enum)
        2    0.000    0.000    0.000    0.000 sre_parse.py:98(checkgroup)
        4    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        2    0.000    0.000    0.001    0.000 registry.py:158(copy)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3032(__str__)
        1    0.000    0.000    0.055    0.055 message_factory.py:38(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4705(<lambda>)
        1    0.000    0.000    0.014    0.014 codec.py:46(ABIEncoder)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.005    0.005 __init__.py:3230(_initialize)
        3    0.000    0.000    0.000    0.000 vote_asset_contract_pb2.py:5(<lambda>)
        1    0.000    0.000    0.000    0.000 contract.py:570(proposal_delete_contractParser)
        8    0.000    0.000    0.000    0.000 registry.py:56(__init__)
        1    0.000    0.000    0.007    0.007 utf8prober.py:28(<module>)
        1    0.000    0.000    0.001    0.001 encoding.py:291(UnsignedIntegerEncoder)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    1.189    1.189 __init__.py:554(_build_master)
        1    0.000    0.000    0.016    0.016 warnings.py:119(filterwarnings)
        1    0.000    0.000    0.002    0.002 serializable.py:93(ChangesetState)
        1    0.000    0.000    0.015    0.015 _mode_ofb.py:25(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _csv.writer}
        5    0.000    0.000    0.000    0.000 specifiers.py:670(<listcomp>)
        6    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
        1    0.000    0.000    0.044    0.044 mapping.py:3(<module>)
        1    0.000    0.000    0.010    0.010 coincurve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _raw_api.py:56(_VoidPointer)
        1    0.000    0.000    0.000    0.000 _mode_ccm.py:51(enum)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4390(OnlyOnce)
        1    0.000    0.000    0.001    0.001 pyparsing.py:1298(addCondition)
        1    0.000    0.000    0.023    0.023 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.000    0.000 cookies.py:259(Morsel)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1445(IPv4Network)
        2    0.000    0.000    0.004    0.002 module_loading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
        1    0.000    0.000    0.000    0.000 contract.py:779(clear_abi_contractParser)
        1    0.000    0.000    0.000    0.000 decoding.py:111(BaseDecoder)
        1    0.000    0.000    0.000    0.000 contract.py:285(WitnessCreateContractParser)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
        1    0.000    0.000    0.027    0.027 hexadecimal.py:3(<module>)
        1    0.000    0.000    0.001    0.001 main.py:63(Tron)
        3    0.000    0.000    0.000    0.000 serializable.py:429(<setcomp>)
       10    0.000    0.000    0.000    0.000 __init__.py:2676(version)
        1    0.000    0.000    0.000    0.000 descriptor_pool.py:118(DescriptorPool)
        3    0.000    0.000    0.000    0.000 registry.py:349(__init__)
        1    0.000    0.000    0.002    0.002 nodes.py:7(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        1    0.000    0.000    0.001    0.001 symbol_database.py:58(<module>)
        3    0.000    0.000    0.000    0.000 six.py:585(itervalues)
        1    0.000    0.000    0.002    0.002 core.py:53(where)
        1    0.000    0.000    0.001    0.001 _cpu_features.py:45(have_clmul)
        1    0.000    0.000    0.001    0.001 eucjpprober.py:28(<module>)
        1    0.000    0.000    0.008    0.008 utils.py:4(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
        1    0.000    0.000    0.078    0.078 __init__.py:2414(EntryPoint)
        1    0.000    0.000    0.000    0.000 contract.py:647(update_setting_contractParser)
        1    0.000    0.000    0.001    0.001 py3compat.py:59(<module>)
        2    0.000    0.000    0.004    0.002 typing.py:2137(__new__)
        1    0.000    0.000    0.005    0.005 der.py:13(<module>)
        3    0.000    0.000    0.001    0.000 os.py:760(getenv)
        1    0.000    0.000    0.018    0.018 decorators.py:7(<module>)
        1    0.000    0.000    1.189    1.189 __init__.py:541(__init__)
        1    0.000    0.000    0.000    0.000 retry.py:35(_RetryMeta)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:1416(get_metadata_lines)
        1    0.000    0.000    0.146    0.146 string.py:65(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:607(get_platform)
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        3    0.000    0.000    0.000    0.000 datetime.py:2014(_create)
        1    0.000    0.000    0.000    0.000 keys.py:752(SigningKey)
        1    0.000    0.000    0.003    0.003 default.py:3(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4383(postParse)
        4    0.000    0.000    0.000    0.000 __init__.py:1115(append)
        1    0.000    0.000    0.000    0.000 datetime.py:659(date)
        1    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 os.py:806(fsdecode)
        1    0.000    0.000    0.001    0.001 grammar.py:41(NodeVisitor)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4296(postParse)
        1    0.000    0.000    0.003    0.003 __init__.py:1403(get_metadata)
        1    0.000    0.000    0.001    0.001 functoolz.py:739(excepts)
        2    0.000    0.000    0.004    0.002 pyparsing.py:1288(addParseAction)
        4    0.000    0.000    0.000    0.000 threading.py:74(RLock)
        3    0.000    0.000    0.000    0.000 __init__.py:54(exec_module)
        2    0.000    0.000    0.000    0.000 typing.py:222(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.097    0.097 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:288(update)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.001    0.001 lazy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:36(ProxyError)
        1    0.000    0.000    0.001    0.001 retry.py:225(__init__)
        5    0.000    0.000    0.000    0.000 six.py:177(_get_module)
        1    0.000    0.000    0.006    0.006 typing.py:2354(TextIO)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.007    0.007 SHA256.py:21(<module>)
        1    0.000    0.000    0.082    0.082 reflection.py:46(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        1    0.000    0.000    0.000    0.000 client.py:798(HTTPConnection)
        2    0.000    0.000    0.001    0.001 registry.py:282(_clear_encoder_cache)
        3    0.000    0.000    0.001    0.000 __init__.py:471(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 contract.py:516(unfreeze_asset_contractParser)
        1    0.000    0.000    0.000    0.000 contract.py:855(ContractRawParser)
        2    0.000    0.000    0.001    0.000 six.py:840(with_metaclass)
        1    0.000    0.000    0.008    0.008 base.py:304(__init__)
        1    0.000    0.000    0.019    0.019 transactionbuilder.py:34(TransactionBuilder)
        3    0.000    0.000    0.000    0.000 __init__.py:472(CFunctionType)
        1    0.000    0.000    0.000    0.000 specifiers.py:104(_IndividualSpecifier)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 specifiers.py:752(__iter__)
        1    0.000    0.000    0.013    0.013 manager.py:16(<module>)
        1    0.000    0.000    0.059    0.059 status_codes.py:21(<module>)
        1    0.000    0.000    0.000    0.000 proxy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mode_gcm.py:155(GcmMode)
        1    0.000    0.000    0.080    0.080 util.py:300(find_library)
        1    0.000    0.000    0.000    0.000 _signatures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 base.py:11(BaseProvider)
        1    0.000    0.000    0.001    0.001 tokenize.py:448(open)
        1    0.000    0.000    0.000    0.000 currency.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _collections._count_elements}
        4    0.000    0.000    0.002    0.001 normalizers.py:25(implicitly_identity)
        1    0.000    0.000    0.000    0.000 mimetypes.py:58(MimeTypes)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:7(Comparable)
        1    0.000    0.000    0.231    0.231 __init__.py:19(<module>)
        1    0.000    0.000    0.030    0.030 descriptor_pool.py:56(<module>)
        1    0.000    0.000    0.000    0.000 six.py:114(_resolve)
        2    0.000    0.000    0.000    0.000 subprocess.py:1421(_try_wait)
        1    0.000    0.000    0.040    0.040 request.py:941(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 client.py:1466(CannotSendRequest)
        1    0.000    0.000    0.003    0.003 encoding.py:54(BaseEncoder)
        1    0.000    0.000    0.001    0.001 pyparsing.py:1103(ParserElement)
        2    0.000    0.000    0.000    0.000 subprocess.py:778(__del__)
        1    0.000    0.000    0.002    0.002 typing.py:907(GenericMeta)
        1    0.000    0.000    0.547    0.547 version.py:267(Version)
        1    0.000    0.000    0.118    0.118 _mode_ecb.py:25(<module>)
        1    0.000    0.000    0.001    0.001 recipes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 typing.py:686(_Union)
        1    0.000    0.000    0.000    0.000 types.py:7(<module>)
        6    0.000    0.000    0.000    0.000 tokenize.py:379(read_or_stop)
        2    0.000    0.000    0.000    0.000 enum.py:581(__hash__)
        5    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      6/2    0.000    0.000    0.055    0.028 pyparsing.py:4183(streamline)
        1    0.000    0.000    0.066    0.066 scanner.py:2(<module>)
        2    0.000    0.000    1.074    0.537 grammar.py:108(parse)
        5    0.000    0.000    0.000    0.000 specifiers.py:810(<genexpr>)
        1    0.000    0.000    0.000    0.000 client.py:1426(HTTPException)
        1    0.000    0.000    0.004    0.004 dictionary.py:3(<module>)
        1    0.000    0.000    0.321    0.321 signing.py:1(<module>)
        1    0.000    0.000    0.009    0.009 abc.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3066(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:28(<module>)
        1    0.000    0.000    0.001    0.001 typing.py:2113(<listcomp>)
        1    0.000    0.000    0.000    0.000 <string>:2(AsyncContextManager)
        2    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
        1    0.000    0.000    0.000    0.000 dictionary.py:16(__init__)
        1    0.000    0.000    0.001    0.001 big5prober.py:28(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
        2    0.000    0.000    0.000    0.000 __init__.py:1280(setLevel)
        1    0.000    0.000    0.000    0.000 models.py:589(Response)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.036    0.036 logging.py:13(cached_show_debug2_property)
        1    0.000    0.000    0.001    0.001 enums.py:1(<module>)
        1    0.000    0.000    0.040    0.040 types.py:1(<module>)
        1    0.000    0.000    0.001    0.001 functoolz.py:167(curry)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4141(Forward)
        1    0.000    0.000    0.000    0.000 version.py:67(_BaseVersion)
        1    0.000    0.000    0.000    0.000 subprocess.py:359(CompletedProcess)
        1    0.000    0.000    0.000    0.000 block.py:97(TransWriter)
        1    0.000    0.000    0.008    0.008 api_implementation.py:32(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 trx.py:37(Trx)
        2    0.000    0.000    0.000    0.000 pyparsing.py:460(__iter__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3061(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 descriptor.py:56(TypeTransformationError)
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
        1    0.000    0.000    0.076    0.076 api.py:11(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.294    0.294 six.py:115(__getattr__)
        1    0.000    0.000    0.000    0.000 registry.py:167(Predicate)
        1    0.000    0.000    0.013    0.013 __init__.py:1889(warn)
        5    0.000    0.000    0.000    0.000 contract.py:865(__init__)
        2    0.000    0.000    0.000    0.000 six.py:864(add_metaclass)
        1    0.000    0.000    0.000    0.000 logging.py:138(_BaseHasLogger)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1455(_UnboundedCache)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3151(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        1    0.000    0.000    0.012    0.012 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:377(HTMLCalendar)
        2    0.000    0.000    0.000    0.000 six.py:159(_resolve)
        5    0.000    0.000    0.000    0.000 __init__.py:3099(<listcomp>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1063(ZipFile)
        3    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1049(_BaseV4)
        1    0.000    0.000    0.001    0.001 _mode_openpgp.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _mode_ccm.py:57(CcmMode)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
        2    0.000    0.000    0.000    0.000 six.py:86(_LazyDescr)
        1    0.000    0.000    0.000    0.000 mixins.py:156(MutableAttr)
        1    0.000    0.000    0.000    0.000 MD5.py:49(MD5Hash)
        1    0.000    0.000    0.000    0.000 appdirs.py:9(<module>)
        1    0.000    0.000    0.001    0.001 enums.py:5(<module>)
        1    0.000    0.000    0.000    0.000 contract.py:412(witness_update_contractParser)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:394(EpollSelector)
        2    0.000    0.000    0.000    0.000 sre_parse.py:101(checklookbehindgroup)
        1    0.000    0.000    0.000    0.000 retry.py:283(<listcomp>)
        1    0.000    0.000    0.002    0.002 encoding.py:385(UnsignedFixedEncoder)
        1    0.000    0.000    0.000    0.000 exceptions.py:97(UndefinedLabel)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4163(__lshift__)
        1    0.000    0.000    0.000    0.000 __init__.py:893(subscribe)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1860(IPv6Address)
        1    0.000    0.000    0.000    0.000 tempfile.py:779(TemporaryDirectory)
        7    0.000    0.000    0.000    0.000 __init__.py:2333(_cygwin_patch)
        1    0.000    0.000    0.000    0.000 base.py:229(TransWriter)
        1    0.000    0.000    0.000    0.000 core.py:31(InvalidCodepointContext)
        1    0.000    0.000    0.000    0.000 exceptions.py:72(MissingSchema)
        1    0.000    0.000    0.000    0.000 request.py:1052(HTTPBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 exceptions.py:6(ParseError)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4214(copy)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3184(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3914(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:2559(Distribution)
        1    0.000    0.000    0.014    0.014 number.py:27(<module>)
        1    0.000    0.000    0.000    0.000 contract.py:391(FrozenSupplyParser)
        1    0.000    0.000    0.000    0.000 well_known_types.py:417(FieldMask)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.099    0.099 enum_type_wrapper.py:36(<module>)
        1    0.000    0.000    0.005    0.005 token.py:1(<module>)
        2    0.000    0.000    0.000    0.000 message_factory.py:59(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(ABITypedData)
        1    0.000    0.000    0.000    0.000 client.py:1437(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 decoding.py:345(BooleanDecoder)
        1    0.000    0.000    0.000    0.000 compatibility.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3064(<genexpr>)
        2    0.000    0.000    0.000    0.000 subprocess.py:203(_cleanup)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.004    0.004 typing.py:2111(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 idna.py:146(Codec)
        1    0.000    0.000    0.001    0.001 encoding.py:304(PackedUnsignedIntegerEncoder)
        1    0.000    0.000    0.009    0.009 main.py:13(HexBytes)
        1    0.000    0.000    0.000    0.000 discovery.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _mode_gcm.py:79(_get_ghash_portable)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.001    0.001 message.py:35(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:454(_PlistWriter)
        1    0.000    0.000    0.033    0.033 __init__.py:2995(DistInfoDistribution)
        4    0.000    0.000    0.000    0.000 __init__.py:2167(register_namespace_handler)
        1    0.000    0.000    0.001    0.001 decorators.py:62(decorator)
        1    0.000    0.000    0.000    0.000 core.py:16(IDNAError)
        1    0.000    0.000    0.000    0.000 _collections.py:31(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 six.py:371(Module_six_moves_urllib_error)
        1    0.000    0.000    0.000    0.000 ipaddress.py:598(_BaseNetwork)
        1    0.000    0.000    0.001    0.001 encoding.py:489(BytesEncoder)
        1    0.000    0.000    0.175    0.175 pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.001    0.001 subprocess.py:766(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:1253(Logger)
        1    0.000    0.000    0.000    0.000 cpp_message.py:42(GeneratedProtocolMessageType)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 six.py:459(Module_six_moves_urllib_robotparser)
        5    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.008    0.008 logging.py:28(ExtendedDebugLogger)
        1    0.000    0.000    0.350    0.350 _signatures.py:167(update_signature_registry)
        2    0.000    0.000    3.115    1.557 __init__.py:3225(_call_aside)
        2    0.000    0.000    0.000    0.000 common_pb2.py:5(<lambda>)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
        1    0.000    0.000    0.000    0.000 datatypes.py:7(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:45(ValidationError)
        1    0.000    0.000    0.000    0.000 hooks.py:13(<module>)
        1    0.000    0.000    0.000    0.000 poolmanager.py:139(PoolManager)
        1    0.000    0.000    0.000    0.000 timeout.py:20(Timeout)
        1    0.000    0.000    0.000    0.000 mapping.py:14(AttrMap)
        1    0.000    0.000    0.001    0.001 decoding.py:246(SizedArrayDecoder)
        1    0.000    0.000    0.000    0.000 _mode_gcm.py:102(_GHASH)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2606(Word)
        1    0.000    0.000    0.161    0.161 specifiers.py:263(LegacySpecifier)
        1    0.000    0.000    0.000    0.000 tempfile.py:461(_TemporaryFileWrapper)
        1    0.000    0.000    0.012    0.012 __init__.py:1310(warning)
        5    0.000    0.000    0.000    0.000 descriptor_pool.py:71(_Deprecated)
        1    0.000    0.000    0.000    0.000 selectors.py:343(PollSelector)
        2    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        2    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        1    0.000    0.000    0.000    0.000 _rwlock.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:830(CookiePolicy)
        1    0.000    0.000    0.000    0.000 fields.py:126(RequestField)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
        1    0.000    0.000    0.001    0.001 encoding.py:406(PackedUnsignedFixedEncoder)
        3    0.000    0.000    0.000    0.000 grammar.py:65(<dictcomp>)
        1    0.000    0.000    0.007    0.007 _utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:1972(__xor__)
        1    0.000    0.000    0.001    0.001 random.py:87(__init__)
        1    0.000    0.000    0.007    0.007 lzma.py:9(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:357(notify_all)
        4    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 request.py:1063(ProxyBasicAuthHandler)
        2    0.000    0.000    0.000    0.000 sre_parse.py:287(seek)
        1    0.000    0.000    0.000    0.000 abi.py:365(ByteStringEncoder)
        1    0.000    0.000    0.000    0.000 abi.py:373(TextStringEncoder)
        1    0.000    0.000    0.001    0.001 decorators.py:32(reject_recursive_repeats)
        1    0.000    0.000    0.022    0.022 cookiejar.py:1970(MozillaCookieJar)
        1    0.000    0.000    0.000    0.000 cookies.py:170(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:732(Cookie)
        1    0.000    0.000    0.000    0.000 client.py:1445(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 ssl.py:343(SSLContext)
        1    0.000    0.000    0.000    0.000 expressions.py:365(Lookahead)
        1    0.000    0.000    0.001    0.001 decoding.py:393(SignedIntegerDecoder)
        1    0.000    0.000    0.000    0.000 main.py:11(Keccak256)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 version.py:61(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:64(install)
        1    0.000    0.000    0.000    0.000 inspect.py:2702(Signature)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:81(HeaderDefect)
        1    0.000    0.000    0.000    0.000 header.py:413(_ValueFormatter)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        1    0.000    0.000    0.000    0.000 mbcharsetprober.py:30(<module>)
        1    0.000    0.000    0.003    0.003 typing.py:2340(BinaryIO)
        1    0.000    0.000    0.000    0.000 _version.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1139(getLoggerClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1236(_fixupChildren)
        1    0.000    0.000    0.000    0.000 six.py:124(_LazyModule)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        1    0.000    0.000    0.002    0.002 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text_encoding.py:52(<listcomp>)
        3    0.000    0.000    0.000    0.000 exceptions.py:10(__init__)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:12(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 text.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numbertheory.py:39(Error)
        1    0.000    0.000    0.000    0.000 models.py:198(Request)
        1    0.000    0.000    0.000    0.000 package_data.py:1(<module>)
        1    0.000    0.000    0.034    0.034 certs.py:14(<module>)
        1    0.000    0.000    0.000    0.000 ssltransport.py:11(SSLTransport)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:22(is_local_appengine)
        1    0.000    0.000    0.000    0.000 six.py:227(_MovedItems)
        1    0.000    0.000    0.000    0.000 encoding.py:250(NumberEncoder)
        2    0.000    0.000    0.001    0.000 registry.py:43(__copy__)
        2    0.000    0.000    0.001    0.000 base.py:80(parse_tuple_type_str)
        2    0.000    0.000    0.000    0.000 base.py:138(validate)
        1    0.000    0.000    0.000    0.000 grammar.py:278(BasicType)
        1    0.000    0.000    0.000    0.000 HMAC.py:46(HMAC)
        1    0.000    0.000    0.000    0.000 __init__.py:306(CDLL)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        2    0.000    0.000    0.000    0.000 functoolz.py:229(func)
        1    0.000    0.000    0.000    0.000 markers.py:40(UndefinedComparison)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2545(CloseMatch)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3458(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3850(_MultipleMatch)
        1    0.000    0.000    0.000    0.000 _typing.py:27(<module>)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
        1    0.000    0.000    0.000    0.000 errors.py:104(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 sbcsgroupprober.py:46(SBCSGroupProber)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 __init__.py:426(Formatter)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.001    0.001 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:562(Popen)
        1    0.000    0.000    0.000    0.000 exceptions.py:38(NoABIFunctionsFound)
        1    0.000    0.000    0.001    0.001 encoding.py:513(PackedBytesEncoder)
        1    0.000    0.000    0.001    0.001 encoding.py:522(ByteStringEncoder)
        2    0.000    0.000    0.000    0.000 binary.py:14(__init__)
        1    0.000    0.000    0.000    0.000 _raw_api.py:200(_Py_buffer)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4160(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:127(BytesHeaderParser)
        1    0.000    0.000    0.088    0.088 linecache.py:6(<module>)
        2    0.000    0.000    0.000    0.000 subprocess.py:1386(_internal_poll)
        3    0.000    0.000    0.000    0.000 {method 'update' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 datatypes.py:274(BaseSignature)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.017    0.017 universaldetector.py:51(UniversalDetector)
        1    0.000    0.000    0.001    0.001 decoding.py:365(AddressDecoder)
        4    0.000    0.000    0.000    0.000 inspect.py:2005(RewriteSymbolics)
        1    0.000    0.000    0.000    0.000 constants.py:11(<module>)
        1    0.000    0.000    0.000    0.000 numbertheory.py:49(NegativeExponentError)
        1    0.000    0.000    0.000    0.000 exceptions.py:93(GatewayTimeout)
        1    0.000    0.000    0.000    0.000 ecdsa.py:63(RSZeroError)
        1    0.000    0.000    0.000    0.000 models.py:60(RequestEncodingMixin)
